Oil_store,주소,가격,셀프,상표
아이시디 햇살주유소,경남 양산시 물금읍 제방로 229,1698,N,S-OIL
구도일주유소 다방,경남 양산시 다방길 15 (다방동),1699,N,S-OIL
물금주유소,경남 양산시 물금읍 황산로 501,1790,N,S-OIL
내원사주유소,경남 양산시 하북면 용연로 101,-,N,SK에너지
중앙주유소,경남 의령군 의령읍 백산로 4,1595,N,GS칼텍스
남강주유소,경남 의령군 의령읍 남강로 761,1609,N,현대오일뱅크
동부농협주유소,경남 의령군 지정면 함의로 1448번지,1610,N,NH-OIL
큰길주유소,경남 의령군 정곡면 의합대로 1157,1618,Y,알뜰주유소
의령농협주유소,경남 의령군 정곡면 법정로 932-13,1620,N,자가상표
의령농협클린주유소,경남 의령군 의령읍 의병로 171,1620,Y,SK에너지
대복주유소,경남 의령군 용덕면 의합대로 128,1625,N,S-OIL
만남주유소,경상남도 의령군 대의면 합천대로 228,1629,N,현대오일뱅크
남산주유소,경남 의령군 의령읍 의령대로 1649,1630,N,GS칼텍스
창인주유소,경남 의령군 지정면 함의로 1714,1645,N,GS칼텍스
(주)의령주유소,경남 의령군 가례면 의령대로 1166,1645,N,SK에너지
이광주주유소,경남 의령군 대의면 의령대로 173,1645,N,S-OIL
신반주유소,경남 의령군 부림면 대한로 1781,1648,N,SK에너지
중동주유소,경남 의령군 부림면 대한로 1658,1648,N,현대오일뱅크
동부주유소,경상남도 의령군 부림면 신번로 85,1649,N,GS칼텍스
태양주유소,경남 의령군 유곡면 함의로 2274,1649,N,SK에너지
신흥주유소,경남 의령군 봉수면 대한로 1047,1649,N,S-OIL
진등재주유소,경남 의령군 용덕면 의합대로 496,1658,N,현대오일뱅크
수정주유소,경남 진주시 장대로 64,1585,N,현대오일뱅크
새진주주유소,경남 진주시 진양호로 596,1585,Y,SK에너지
서진주주유소,경남 진주시 서장대로 181 (이현동),1585,Y,SK에너지
수곡농협,경남 진주시 수곡면 곤수로 922,1590,N,NH-OIL
(주)경남석유 신경남제2주유소,경남 진주시 진주대로 1429 (이현동),1592,Y,자가상표
신경남셀프주유소,경남 진주시 진주대로 1425 (이현동),1594,Y,S-OIL
금호주유소,경남 진주시 명석면 진주대로 1964,1594,N,알뜰주유소
강남주유소,경남 진주시 진주대로 907 (강남동),1595,N,알뜰주유소
연암주유소,경남 진주시 진주대로 646,1595,Y,GS칼텍스
세기상사㈜ 서진주IC주유소,경남 진주시 진주대로 1314,1595,Y,S-OIL
덕오주유소,경남 진주시 집현면 남강로 2019,1595,Y,S-OIL
명신주유소,경남 진주시 명석면 판문로 505,1595,N,현대오일뱅크
유천주유소,경남 진주시 말티고개로 77(초전동),1595,Y,현대오일뱅크
세계주유소,경남 진주시 진산로 163 (장재동),1595,Y,알뜰주유소
국제주유소,경상남도 진주시 진주대로 917 (강남동),1599,Y,SK에너지
남척주유소(직영),경남 진주시 진주대로 837 (주약동),1599,Y,SK에너지
(주)신용에너지,경남 진주시 문산읍 동부로 334 (문산읍),1599,Y,SK에너지
진명주유소,경남 진주시 명석면 진주대로 2627,1599,N,현대오일뱅크
천마주유소,경남 진주시 진주대로 1424 (이현동),1599,Y,GS칼텍스
금곡농협주유소,경남 진주시 금곡면 월아산로 113,1600,N,NH-OIL
현대주유소,경상남도 진주시  대신로 431 (초전동),1604,Y,현대오일뱅크
옥산주유소,경남 진주시 남강로 935 (상평동),1604,Y,SK에너지
진주남부농협내동주유소,경남 진주시 내동면 순환로 367,1605,Y,NH-OIL
진주동부농협주유소,경남 진주시 진산로 230 (장재동),1605,Y,NH-OIL
(주)인창주유소,경남 진주시 창렬로 65,1605,Y,알뜰주유소
진주서부농협클린주유소,경남 진주시 서장대로 215,1605,Y,NH-OIL
진주남부농협정촌주유소,경남 진주시 정촌면 화개천로 120,1605,Y,NH-OIL
진주남부농협 호탄주유소,경남 진주시 호탄길34번길 25 (호탄동),1605,Y,S-OIL
